stripe_charge_id,amount,payment_date,description,payment_status,stripe_customer_id,customer_email,customer_name
ch_3S8ThNBAE8SudaDO1xWnxMmd,111.18,2025-09-17,Membership Payment: Full Member,succeeded,,,
ch_3S7P8cBAE8SudaDO0SkGw45X,9.58,2025-09-14,Membership Payment: Full Member (York),succeeded,cus_PgfkuFsxhrlUD3,,
ch_3S44pHBAE8SudaDO1WiysNMm,110.00,2025-09-05,Membership Payment: Full Member,succeeded,cus_T050nZgOw4uWFy,,
ch_3S1MX7BAE8SudaDO1TVNCsAd,400.00,2025-08-29,Membership Purchase: 6 Month upfront,succeeded,,,
ch_3RsB7gBAE8SudaDO1VRZdBXk,25.00,2025-08-03,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3RpdncBAE8SudaDO1ectFoSO,25.00,2025-07-27,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3Rn6SmBAE8SudaDO1tkG2pIR,25.00,2025-07-20,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3RkZ81BAE8SudaDO1mWiOtFj,25.00,2025-07-13,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3Ri1nWBAE8SudaDO0ADkhsmm,25.00,2025-07-06,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3RfURLBAE8SudaDO0KO7MiUX,25.00,2025-06-29,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3RebyXBAE8SudaDO1z38tpqQ,199.00,2025-06-27,6 Week Transformation Programme [York],succeeded,,,
ch_3Rcx6bBAE8SudaDO0USmknOk,25.00,2025-06-22,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3RaPmIBAE8SudaDO1dxeNBK5,25.00,2025-06-15,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3RXsRjBAE8SudaDO0Vbzc1i7,25.00,2025-06-08,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3RVL8LBAE8SudaDO0AsCd0RJ,18.88,2025-06-01,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3RUAeFBAE8SudaDO0LwOEkM7,124.00,2025-05-29,Membership Purchase: Deposit,succeeded,,,
ch_3RLBlMBAE8SudaDO1I0Lc6AH,7.14,2025-05-04,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3RC0ssBAE8SudaDO1NZ3mVLo,249.00,2025-04-09,Membership Purchase: 6 week transformation programme,succeeded,,,
ch_3RBdHEBAE8SudaDO1zvneaDn,100.00,2025-04-08,Membership Purchase: Block of 10 Sessions,succeeded,,,
ch_3R5yl9BAE8SudaDO0leQbKAV,25.00,2025-03-24,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3R3RLJBAE8SudaDO0xQhdGPd,25.00,2025-03-17,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
